,h_r,h_u,s_r,s_u,w_r,w_u,nh_r,nh_u
Mean degree (conditioned),5.44,6.19,1.21 (0.02),1.02 (0.13),0.92 (0.02),1.31 (0.08),3.67,4.62
"Mean deg, 0-9y",12.1,13.22,2.09,1.37,0,0,6.73,7.65
"Mean deg, 10-19y",12.93,11.86,6.96,5.09,0,0,7.62,6.87
"Mean deg, 20-29y",9.77,10.76,0.87,0.32,1.7,2.47,5.75,9.45
"Mean deg, 30-39y",10.71,12.25,0.98,0.22,2.17,3.5,6.09,7.95
"Mean deg, 40-59y",8.84,9.94,0.57,0.31,2.36,3.72,6.12,7.17
"Mean deg, 60+y",7.27,8.51,0,0,0.78,0.74,4.72,6.74
having contact %,-,-,-,-,-,-,64.17%,82.64%
"assort %, 0-9y",16.16%,22.86%,82.54%,82.47%,0%,0%,27.78%,23.86%
"assort %, 10-19y",22.73%,26.18%,79.49%,90.95%,0%,40.74%,46.20%,51.85%
"assort %, 20-29y",13.97%,24.87%,13.04%,0%,30.85%,8.82%,29.27%,27.30%
"assort %, 30-39y",15.78%,16.01%,4.76%,54.55%,32.26%,26.98%,26.58%,28.80%
"assort %, 40-59y",19.71%,18.13%,0%,0%,68.55%,88.11%,44.77%,47.99%
"assort %, 60+y",14.85%,17.51%,0%,0%,11.11%,5.13%,22.94%,18.06%
dur,-,-,1980.89,1191.78,6593.91,4379.79,4328.12,3741.45
